Timestamp,"Your username (displayed as ""Added by [username]"")",Manufacturer/Brand name,Pickup model or name (optional),North Coil: RED lead (+) wire color,North Coil: BLACK lead (−) wire color,North Coil Pole Type,South Coil: RED lead (+) wire color,South Coil: BLACK lead (−) wire color,South Coil Pole Type,Additional notes (optional)
01/16/2026 17:47:34,Official,Seymour Duncan,Seymour Duncan,Green,Red,Slug,White,Black,Screw,Standard 4-conductor pattern
01/16/2026 17:47:34,Official,Duncan Designed,Duncan Designed,Green,Red,Slug,White,Black,Screw,Same as Seymour Duncan
01/16/2026 17:47:34,Official,DiMarzio,DiMarzio,Green,Black,Slug,White,Red,Screw,Standard DiMarzio pattern
01/16/2026 17:47:34,Official,Gibson,Gibson (Aftermarket),Black,White,Slug,Green,Red,Screw,Aftermarket 4-conductor
01/16/2026 17:47:34,Official,Gibson,Gibson (Stock/Vintage),Black,Bare/Shield,Slug,Bare/Shield,Black,Screw,Vintage 2-conductor (same wire both ends)
01/16/2026 17:47:34,Official,Fender,Fender (Humbucker),Green,Red,Slug,Black,White,Screw,Fender humbucker pattern
01/16/2026 17:47:34,Official,Jackson,Jackson,Green,Red,Slug,Black,White,Screw,Same as Fender
01/16/2026 17:47:34,Official,Peavey,Peavey,Yellow,Orange,Slug,Green,Red,Screw,Unique color scheme
01/16/2026 17:47:34,Official,Iron Gear,Iron Gear,Yellow,Red,Slug,Green,White,Screw,Yellow hot wire
01/16/2026 17:47:34,Official,Ibanez,Ibanez,Blue,Red,Slug,Green,White,Screw,Blue hot wire
01/16/2026 17:47:34,Official,Rockfield,Rockfield,Black,Red,Slug,Green,White,Screw,Standard pattern
01/16/2026 17:47:34,Official,TDM,TDM,Yellow,Red,Slug,Green,White,Screw,Yellow hot wire
01/16/2026 17:47:34,Official,GFS,GFS,Black,Red,Slug,Green,White,Screw,Standard pattern
01/16/2026 17:47:34,Official,Swinehead,Swinehead,Red,White,Slug,Green,Black,Screw,Reversed from DiMarzio
01/16/2026 17:47:34,Official,EMG,EMG (Passive),Red,Black,Slug,Bare/Shield,White,Screw,Passive EMG pattern
01/16/2026 17:47:34,Official,EMG,EMG HZ,Black,Red,Slug,Green,White,Screw,EMG HZ series
01/16/2026 17:47:34,Official,Seymour Duncan,All Active (Seymour Duncan),Red,Black,Slug,Bare/Shield,White,Screw,Active pickup pattern
01/16/2026 17:47:34,Official,Lawrence,Lawrence,Red,Black,Slug,Green,White,Screw,Standard pattern
01/16/2026 17:47:34,Official,Bare Knuckle,Bare Knuckle,Black,Red,Slug,Green,White,Screw,Standard pattern
01/16/2026 17:47:34,Official,Gotoh,Gotoh,Yellow,Red,Slug,Green,White,Screw,Yellow hot wire
01/16/2026 17:47:34,Official,Bill Lawrence,Bill Lawrence,Black,Red,Slug,Green,White,Screw,Standard pattern
01/16/2026 17:47:34,Official,Carvin/Kiesel,Carvin/Kiesel,Black,Red,Slug,Green,White,Screw,Standard pattern
01/16/2026 17:47:34,Official,Dean USA,Dean USA,Black,Red,Slug,Green,White,Screw,Standard pattern
01/16/2026 17:47:34,Official,Fralin,Fralin,Black,Red,Slug,Green,White,Screw,Standard pattern
01/16/2026 17:47:34,Official,Golden Age,Golden Age (4-Conductor),Black,Red,Slug,Green,White,Screw,Standard pattern
01/16/2026 17:47:34,Official,Joe Barden,Joe Barden,Black,Red,Slug,Green,White,Screw,Standard pattern
01/16/2026 17:47:34,Official,Kent Armstrong,Kent Armstrong,Black,Red,Slug,Green,White,Screw,Standard pattern
01/16/2026 17:47:34,Official,Lollar Pickups,Lollar,Black,Red,Slug,Green,White,Screw,Standard pattern
01/16/2026 17:47:34,Official,Lundgren,Lundgren,Black,Red,Slug,Green,White,Screw,Standard pattern
01/16/2026 17:47:34,Official,MAMA Pickups,MAMA Pickups,Black,Red,Slug,Green,White,Screw,Standard pattern
01/16/2026 17:47:34,Official,Mighty Mite,Mighty Mite,Black,Red,Slug,Green,White,Screw,Standard pattern
01/16/2026 17:47:34,Official,PRS,PRS (Paul Reed Smith),Black,Red,Slug,Green,White,Screw,Standard pattern
01/16/2026 17:47:34,Official,Rio Grande,Rio Grande,Black,Red,Slug,Green,White,Screw,Standard pattern
01/16/2026 17:47:34,Official,Schaller,Schaller,Black,Red,Slug,Green,White,Screw,Standard pattern
01/16/2026 17:47:34,Official,Suhr,Suhr,Black,Red,Slug,Green,White,Screw,Standard pattern
01/16/2026 17:47:34,Official,Tone Rider,Tone Rider,Black,Red,Slug,Green,White,Screw,Standard pattern
